1. Zusammenfassung;;;;;;
Besprechungstitel;Testmeeting;;;;;
Teilnehmende Teilnehmer*innen;13;;;;;
Startzeit;8/15/23, 7:26:03 AM;;;;;
Endzeit;8/15/23, 3:03:28 PM;;;;;
Besprechungsdauer;7h 37m 24s;;;;;
Durchschnittliche Anwesenheitszeit;3h 18m 45s;;;;;
;;;;;;
2. Teilnehmer;;;;;;
Name;Erster Beitritt;Zeitpunkt des letzten Verlassens;Dauer der Besprechung;E-Mail;Teilnehmer-ID (UPN);Rolle
Besserwisser, Theo;8/15/23, 7:57:53 AM;8/15/23, 3:03:28 PM;6h 50m 23s;Theo.Besserwisser@info.de;Theo.Besserwisser@info.de;Veranstalter
Müller Lea;8/15/23, 7:57:54 AM;8/15/23, 11:12:04 AM;3h 14m 9s;84009638@info.de;84009638@info.de;Referent
Wagner Mia;8/15/23, 7:57:54 AM;8/15/23, 11:14:44 AM;3h 16m 50s;126080678@info.de;126080678@info.de;Referent
Tim Becker;8/15/23, 7:57:54 AM;8/15/23, 8:28:09 AM;30m 14s;;;Referent
Lukas, Fischer;8/15/23, 7:57:54 AM;8/15/23, 11:14:34 AM;3h 16m 39s;15589528@info.de;15589528@info.de;Referent
Lena Weber;8/15/23, 7:57:55 AM;8/15/23, 11:30:07 AM;3h 32m 12s;;;Referent
Anna Keller;8/15/23, 7:57:55 AM;8/15/23, 11:20:36 AM;3h 22m 41s;8409411@info.de;8409411@info.de;Referent
Schneider Laura (Gast);8/15/23, 7:57:55 AM;8/15/23, 11:16:54 AM;3h 18m 59s;1263D@info.de;1263D@info.de;Referent
Richter Sarah;8/15/23, 7:57:57 AM;8/15/23, 11:15:25 AM;3h 17m 27s;12608D@info.de;12608D@info.de;Referent
Emily Huber;8/15/23, 7:58:16 AM;8/15/23, 11:12:42 AM;3h 14m 26s;1550498@info.de;1550498@info.de;Referent
Schuser Marie (Gast);8/15/23, 7:58:17 AM;8/15/23, 11:16:36 AM;3h 18m 18s;117656@info.de;117656@info.de;Referent
Keller Max;8/15/23, 7:58:28 AM;8/15/23, 11:15:12 AM;3h 16m 43s;121795@info.de;121795@info.de;Referent
;;;;;;
3. Besprechungsinterne Aktivitäten;;;;;;
Name;Zeitpunkt des Beitritts;Zeitpunkt des Verlassens;Dauer;E-Mail;Rolle;
Besserwisser, Theo;8/15/23, 7:57:53 AM;8/15/23, 11:15:20 AM;3h 17m 27s;Theo.Besserwisser@info.de;Veranstalter;
Besserwisser, Theo;8/15/23, 11:30:31 AM;8/15/23, 3:03:28 PM;3h 32m 56s;Theo.Besserwisser@info.de;Veranstalter;
Mustermann Gisela (Gast);8/15/23, 11:23:17 AM;8/15/23, 2:06:52 PM;2h 43m 34s;840913@info.de;Referent;
Horst Beispiel;8/15/23, 2:14:18 PM;8/15/23, 3:03:17 PM;48m 59s;899913@info.de;Referent;
